Image_Index,Variant,True_Label,Predicted_Label,Confidence,Top3_Predictions
3139,Original,great_pyrenees,wheaten_terrier,28.35%,wheaten_terrier (28.4%); great_pyrenees (27.0%); english_setter (19.5%)
3139,Gaussian Noise,great_pyrenees,wheaten_terrier,46.68%,wheaten_terrier (46.7%); great_pyrenees (26.8%); english_setter (7.8%)
3139,Poisson Noise,great_pyrenees,wheaten_terrier,28.18%,wheaten_terrier (28.2%); great_pyrenees (27.2%); english_setter (19.5%)
3139,Salt & Pepper,great_pyrenees,great_pyrenees,27.65%,great_pyrenees (27.6%); wheaten_terrier (26.0%); english_setter (25.2%)
3139,Combined Noise,great_pyrenees,wheaten_terrier,86.27%,wheaten_terrier (86.3%); great_pyrenees (2.6%); english_setter (2.3%)
1498,Original,bombay,sphynx,49.93%,sphynx (49.9%); bengal (10.0%); boxer (3.7%)
1498,Gaussian Noise,bombay,sphynx,57.70%,sphynx (57.7%); boxer (5.3%); havanese (4.9%)
1498,Poisson Noise,bombay,sphynx,50.12%,sphynx (50.1%); bengal (9.9%); boxer (3.7%)
1498,Salt & Pepper,bombay,sphynx,58.29%,sphynx (58.3%); great_pyrenees (7.2%); british_shorthair (6.2%)
1498,Combined Noise,bombay,wheaten_terrier,11.55%,wheaten_terrier (11.6%); sphynx (9.3%); bengal (8.7%)
779,Original,basset_hound,bengal,75.17%,bengal (75.2%); boxer (5.2%); sphynx (2.3%)
779,Gaussian Noise,basset_hound,boxer,21.57%,boxer (21.6%); bengal (18.9%); wheaten_terrier (11.1%)
779,Poisson Noise,basset_hound,bengal,74.95%,bengal (74.9%); boxer (5.3%); sphynx (2.4%)
779,Salt & Pepper,basset_hound,bengal,72.32%,bengal (72.3%); wheaten_terrier (3.8%); saint_bernard (3.2%)
779,Combined Noise,basset_hound,wheaten_terrier,54.77%,wheaten_terrier (54.8%); newfoundland (7.0%); havanese (5.4%)
5327,Original,ragdoll,ragdoll,87.22%,ragdoll (87.2%); american_bulldog (0.7%); samoyed (0.6%)
5327,Gaussian Noise,ragdoll,ragdoll,88.11%,ragdoll (88.1%); american_bulldog (0.6%); samoyed (0.6%)
5327,Poisson Noise,ragdoll,ragdoll,87.24%,ragdoll (87.2%); american_bulldog (0.7%); samoyed (0.6%)
5327,Salt & Pepper,ragdoll,ragdoll,92.84%,ragdoll (92.8%); samoyed (0.4%); american_bulldog (0.4%)
5327,Combined Noise,ragdoll,ragdoll,90.81%,ragdoll (90.8%); samoyed (0.7%); persian (0.5%)
2011,Original,chihuahua,sphynx,50.63%,sphynx (50.6%); bengal (5.4%); persian (3.6%)
2011,Gaussian Noise,chihuahua,sphynx,29.15%,sphynx (29.2%); ragdoll (6.0%); birman (4.7%)
2011,Poisson Noise,chihuahua,sphynx,50.68%,sphynx (50.7%); bengal (5.4%); persian (3.6%)
2011,Salt & Pepper,chihuahua,sphynx,32.22%,sphynx (32.2%); chihuahua (14.7%); bengal (7.9%)
2011,Combined Noise,chihuahua,ragdoll,16.97%,ragdoll (17.0%); sphynx (9.5%); beagle (7.8%)
